exp_name,model,dataset,optimizer,learning_rate,batch_size,augmentation,epoch,train_loss,train_acc,test_loss,test_acc
exp1_lenet_MNIST_rotation_rotation,lenet,MNIST,adam,0.001,64,rotation,5,0.0362,98.91,0.0345,98.85
exp1_lenet_MNIST_rotation_rotation,lenet,MNIST,adam,0.001,64,rotation,10,0.0171,99.44,0.0403,98.74
exp1_lenet_MNIST_rotation_rotation,lenet,MNIST,adam,0.001,64,rotation,15,0.0103,99.69,0.0428,98.90
exp1_lenet_MNIST_rotation_rotation,lenet,MNIST,adam,0.001,64,rotation,20,0.0088,99.69,0.0499,98.94
exp2_lenet_MNIST_rotation_none,lenet,MNIST,adam,0.001,64,none,5,0.0367,98.86,0.0391,98.76
exp2_lenet_MNIST_rotation_none,lenet,MNIST,adam,0.001,64,none,10,0.0201,99.32,0.0343,99.00
exp2_lenet_MNIST_rotation_none,lenet,MNIST,adam,0.001,64,none,15,0.0106,99.66,0.0465,98.79
exp2_lenet_MNIST_rotation_none,lenet,MNIST,adam,0.001,64,none,20,0.0084,99.70,0.0425,99.06
exp3_lenet_MNIST_flip_flip,lenet,MNIST,adam,0.001,64,flip,5,0.0399,98.82,0.0416,98.64
exp3_lenet_MNIST_flip_flip,lenet,MNIST,adam,0.001,64,flip,10,0.0204,99.34,0.0370,98.91
exp3_lenet_MNIST_flip_flip,lenet,MNIST,adam,0.001,64,flip,15,0.0118,99.60,0.0398,98.87
exp3_lenet_MNIST_flip_flip,lenet,MNIST,adam,0.001,64,flip,20,0.0081,99.71,0.0556,98.68
exp4_lenet_MNIST_flip_none,lenet,MNIST,adam,0.001,64,none,5,0.0419,98.67,0.0370,98.77
exp4_lenet_MNIST_flip_none,lenet,MNIST,adam,0.001,64,none,10,0.0199,99.36,0.0345,98.92
exp4_lenet_MNIST_flip_none,lenet,MNIST,adam,0.001,64,none,15,0.0123,99.61,0.0400,98.84
exp4_lenet_MNIST_flip_none,lenet,MNIST,adam,0.001,64,none,20,0.0081,99.75,0.0349,98.97
exp5_lenet_MNIST_adam,lenet,MNIST,adam,0.001,64,none,5,0.0339,98.91,0.0372,98.69
exp5_lenet_MNIST_adam,lenet,MNIST,adam,0.001,64,none,10,0.0162,99.48,0.0285,99.15
exp5_lenet_MNIST_adam,lenet,MNIST,adam,0.001,64,none,15,0.0102,99.68,0.0442,98.75
exp5_lenet_MNIST_adam,lenet,MNIST,adam,0.001,64,none,20,0.0088,99.73,0.0407,99.06
exp6_lenet_MNIST_sgd,lenet,MNIST,sgd,0.001,64,none,5,0.1599,95.00,0.1338,95.92
exp6_lenet_MNIST_sgd,lenet,MNIST,sgd,0.001,64,none,10,0.0766,97.61,0.0768,97.37
exp6_lenet_MNIST_sgd,lenet,MNIST,sgd,0.001,64,none,15,0.0548,98.28,0.0524,98.29
exp6_lenet_MNIST_sgd,lenet,MNIST,sgd,0.001,64,none,20,0.0429,98.67,0.0410,98.67
exp7_lenet_MNIST_bs32,lenet,MNIST,adam,0.001,32,none,5,0.0340,98.96,0.0347,98.88
exp7_lenet_MNIST_bs32,lenet,MNIST,adam,0.001,32,none,10,0.0156,99.51,0.0449,98.61
exp7_lenet_MNIST_bs32,lenet,MNIST,adam,0.001,32,none,15,0.0091,99.69,0.0566,98.71
exp7_lenet_MNIST_bs32,lenet,MNIST,adam,0.001,32,none,20,0.0061,99.81,0.0435,99.19
exp8_lenet_MNIST_bs128,lenet,MNIST,adam,0.001,128,none,5,0.0449,98.67,0.0509,98.27
exp8_lenet_MNIST_bs128,lenet,MNIST,adam,0.001,128,none,10,0.0237,99.27,0.0315,99.02
exp8_lenet_MNIST_bs128,lenet,MNIST,adam,0.001,128,none,15,0.0143,99.55,0.0331,98.97
exp8_lenet_MNIST_bs128,lenet,MNIST,adam,0.001,128,none,20,0.0117,99.62,0.0372,98.96
exp9_lenet_MNIST_lr0.001,lenet,MNIST,adam,0.001,64,none,5,0.0361,98.86,0.0415,98.71
exp9_lenet_MNIST_lr0.001,lenet,MNIST,adam,0.001,64,none,10,0.0183,99.39,0.0395,98.89
